density	temperature	literature_doi	mol_fraction_water
1.1558	298.15	10.1016/j.tca.2011.10.010	0.0
1.192	298.15	10.1016/j.tca.2011.10.010	0.0
1.203	298.15	10.1016/j.tca.2011.10.010	0.0
1.1535	303.15	10.1016/j.tca.2011.10.010	0.0
1.1895	303.15	10.1016/j.tca.2011.10.010	0.0
1.2002	303.15	10.1016/j.tca.2011.10.010	0.0
1.1506	308.15	10.1016/j.tca.2011.10.010	0.0
1.1867	308.15	10.1016/j.tca.2011.10.010	0.0
1.1976	308.15	10.1016/j.tca.2011.10.010	0.0
1.1483	313.15	10.1016/j.tca.2011.10.010	0.0
1.1838	313.15	10.1016/j.tca.2011.10.010	0.0
1.1951	313.15	10.1016/j.tca.2011.10.010	0.0
1.1454	318.15	10.1016/j.tca.2011.10.010	0.0
1.1814	318.15	10.1016/j.tca.2011.10.010	0.0
1.1922	318.15	10.1016/j.tca.2011.10.010	0.0
1.143	323.15	10.1016/j.tca.2011.10.010	0.0
1.1776	323.15	10.1016/j.tca.2011.10.010	0.0
1.1891	323.15	10.1016/j.tca.2011.10.010	0.0
1.1402	328.15	10.1016/j.tca.2011.10.010	0.0
1.1761	328.15	10.1016/j.tca.2011.10.010	0.0
1.1868	328.15	10.1016/j.tca.2011.10.010	0.0
1.1379	333.15	10.1016/j.tca.2011.10.010	0.0
1.1741	333.15	10.1016/j.tca.2011.10.010	0.0
1.1844	333.15	10.1016/j.tca.2011.10.010	0.0
1.1349	338.15	10.1016/j.tca.2011.10.010	0.0
1.1708	338.15	10.1016/j.tca.2011.10.010	0.0
1.1814	338.15	10.1016/j.tca.2011.10.010	0.0
1.1326	343.15	10.1016/j.tca.2011.10.010	0.0
1.1674	343.15	10.1016/j.tca.2011.10.010	0.0
1.1781	343.15	10.1016/j.tca.2011.10.010	0.0
1.1296	348.15	10.1016/j.tca.2011.10.010	0.0
1.1655	348.15	10.1016/j.tca.2011.10.010	0.0
1.176	348.15	10.1016/j.tca.2011.10.010	0.0
1.1266	353.15	10.1016/j.tca.2011.10.010	0.0
1.1635	353.15	10.1016/j.tca.2011.10.010	0.0
1.1732	353.15	10.1016/j.tca.2011.10.010	0.0
1.1243	358.15	10.1016/j.tca.2011.10.010	0.0
1.1602	358.15	10.1016/j.tca.2011.10.010	0.0
1.1706	358.15	10.1016/j.tca.2011.10.010	0.0
1.122	363.15	10.1016/j.tca.2011.10.010	0.0
1.1571	363.15	10.1016/j.tca.2011.10.010	0.0
1.1678	363.15	10.1016/j.tca.2011.10.010	0.0
1.1191	368.15	10.1016/j.tca.2011.10.010	0.0
1.1549	368.15	10.1016/j.tca.2011.10.010	0.0
1.1652	368.15	10.1016/j.tca.2011.10.010	0.0
1.242	293.15	10.1021/jp0671998	0.0
1.234	293.15	10.1021/jp0671998	0.0
1.219	293.15	10.1021/jp0671998	0.0
1.21	293.15	10.1021/jp0671998	0.0
1.203	293.15	10.1021/jp0671998	0.0
1.192	293.15	10.1021/jp0671998	0.0
1.181	293.15	10.1021/jp0671998	0.0
1.17	313.15	10.1016/j.aca.2012.12.019	0.2
1.2001	283.15	10.1016/j.fluid.2014.01.028	0.0
1.1969	283.15	10.1016/j.fluid.2014.01.028	108.0
1.1916	283.15	10.1016/j.fluid.2014.01.028	0.2
1.186	283.15	10.1016/j.fluid.2014.01.028	0.3
1.1822	283.15	10.1016/j.fluid.2014.01.028	0.4
1.1631	283.15	10.1016/j.fluid.2014.01.028	0.6
1.1429	283.15	10.1016/j.fluid.2014.01.028	0.7
1.1223	283.15	10.1016/j.fluid.2014.01.028	0.8
1.1013	283.15	10.1016/j.fluid.2014.01.028	0.9
1.0798	283.15	10.1016/j.fluid.2014.01.028	0.9
1.0593	283.15	10.1016/j.fluid.2014.01.028	0.9
1.039	283.15	10.1016/j.fluid.2014.01.028	1.0
1.0192	283.15	10.1016/j.fluid.2014.01.028	1.0
0.9997	283.15	10.1016/j.fluid.2014.01.028	1.0
1.1943	293.15	10.1016/j.fluid.2014.01.028	0.0
1.1911	293.15	10.1016/j.fluid.2014.01.028	108.0
1.1858	293.15	10.1016/j.fluid.2014.01.028	0.2
1.1802	293.15	10.1016/j.fluid.2014.01.028	0.3
1.1765	293.15	10.1016/j.fluid.2014.01.028	0.4
1.1577	293.15	10.1016/j.fluid.2014.01.028	0.6
1.1377	293.15	10.1016/j.fluid.2014.01.028	0.7
1.1174	293.15	10.1016/j.fluid.2014.01.028	0.8
1.0969	293.15	10.1016/j.fluid.2014.01.028	0.9
1.0758	293.15	10.1016/j.fluid.2014.01.028	0.9
