viscosity	temperature	literature_doi	mol_fraction_water
998.0	293.15	10.1021/jp0671998	0.0
790.0	293.15	10.1021/jp0671998	0.0
548.0	293.15	10.1021/jp0671998	0.0
503.0	293.15	10.1021/jp0671998	0.0
450.0	293.15	10.1021/jp0671998	0.0
401.0	293.15	10.1021/jp0671998	0.0
376.0	293.15	10.1021/jp0671998	0.0
259.0	298.0	10.1039/C1CP22554E	0.0
188.0	303.0	10.1039/C1CP22554E	0.0
140.0	308.0	10.1039/C1CP22554E	0.0
104.0	313.0	10.1039/C1CP22554E	0.0
82.0	318.0	10.1039/C1CP22554E	0.0
64.0	323.0	10.1039/C1CP22554E	0.0
52.0	328.0	10.1039/C1CP22554E	0.0
998.0	293.15	10.1039/c0gc00395f	0.0
654.0	298.15	10.1039/c0gc00395f	0.0
450.0	303.15	10.1039/c0gc00395f	0.0
314.0	308.15	10.1039/c0gc00395f	0.0
222.0	313.15	10.1039/c0gc00395f	0.0
163.0	318.15	10.1039/c0gc00395f	0.0
120.0	323.15	10.1039/c0gc00395f	0.0
90.0	328.15	10.1039/c0gc00395f	0.0
790.0	293.15	10.1039/c0gc00395f	0.0
503.0	298.15	10.1039/c0gc00395f	0.0
349.0	303.15	10.1039/c0gc00395f	0.0
247.0	308.15	10.1039/c0gc00395f	0.0
180.0	313.15	10.1039/c0gc00395f	0.0
132.0	318.15	10.1039/c0gc00395f	0.0
98.0	323.15	10.1039/c0gc00395f	0.0
74.0	328.15	10.1039/c0gc00395f	0.0
548.0	293.15	10.1039/c0gc00395f	0.0
380.0	298.15	10.1039/c0gc00395f	0.0
270.0	303.15	10.1039/c0gc00395f	0.0
194.0	308.15	10.1039/c0gc00395f	0.0
140.0	313.15	10.1039/c0gc00395f	0.0
107.0	318.15	10.1039/c0gc00395f	0.0
80.0	323.15	10.1039/c0gc00395f	0.0
60.0	328.15	10.1039/c0gc00395f	0.0
503.0	293.15	10.1039/c0gc00395f	0.0
350.0	298.15	10.1039/c0gc00395f	0.0
246.0	303.15	10.1039/c0gc00395f	0.0
178.0	308.15	10.1039/c0gc00395f	0.0
132.0	313.15	10.1039/c0gc00395f	0.0
98.0	318.15	10.1039/c0gc00395f	0.0
86.0	323.15	10.1039/c0gc00395f	0.0
57.0	328.15	10.1039/c0gc00395f	0.0
450.0	293.15	10.1039/c0gc00395f	0.0
320.0	298.15	10.1039/c0gc00395f	0.0
229.0	303.15	10.1039/c0gc00395f	0.0
169.0	308.15	10.1039/c0gc00395f	0.0
126.0	313.15	10.1039/c0gc00395f	0.0
95.0	318.15	10.1039/c0gc00395f	0.0
73.0	323.15	10.1039/c0gc00395f	0.0
58.0	328.15	10.1039/c0gc00395f	0.0
401.0	293.15	10.1039/c0gc00395f	0.0
295.0	298.15	10.1039/c0gc00395f	0.0
213.0	303.15	10.1039/c0gc00395f	0.0
160.0	308.15	10.1039/c0gc00395f	0.0
120.0	313.15	10.1039/c0gc00395f	0.0
91.0	318.15	10.1039/c0gc00395f	0.0
71.0	323.15	10.1039/c0gc00395f	0.0
55.0	328.15	10.1039/c0gc00395f	0.0
376.0	293.15	10.1039/c0gc00395f	0.0
259.0	298.15	10.1039/c0gc00395f	0.0
188.0	303.15	10.1039/c0gc00395f	0.0
140.0	308.15	10.1039/c0gc00395f	0.0
104.0	313.15	10.1039/c0gc00395f	0.0
82.0	318.15	10.1039/c0gc00395f	0.0
64.0	323.15	10.1039/c0gc00395f	0.0
52.0	328.15	10.1039/c0gc00395f	0.0
51.3	313.15	10.1016/j.aca.2012.12.019	0.2
376.0	298.0	10.1021/cr300162p	0.0
1003.9428	283.15	10.1016/j.fluid.2014.01.028	0.0
669.9038	283.15	10.1016/j.fluid.2014.01.028	108.0
397.1261	283.15	10.1016/j.fluid.2014.01.028	0.2
239.0806	283.15	10.1016/j.fluid.2014.01.028	0.3
177.9621	283.15	10.1016/j.fluid.2014.01.028	0.4
54.6306	283.15	10.1016/j.fluid.2014.01.028	0.6
21.8137	283.15	10.1016/j.fluid.2014.01.028	0.7
11.3182	283.15	10.1016/j.fluid.2014.01.028	0.8
6.0668	283.15	10.1016/j.fluid.2014.01.028	0.9
3.8894	283.15	10.1016/j.fluid.2014.01.028	0.9
2.6941	283.15	10.1016/j.fluid.2014.01.028	0.9
2.0141	283.15	10.1016/j.fluid.2014.01.028	1.0
1.5754	283.15	10.1016/j.fluid.2014.01.028	1.0
1.2739	283.15	10.1016/j.fluid.2014.01.028	1.0
472.9671	293.15	10.1016/j.fluid.2014.01.028	0.0
322.6054	293.15	10.1016/j.fluid.2014.01.028	108.0
200.4529	293.15	10.1016/j.fluid.2014.01.028	0.2
125.9387	293.15	10.1016/j.fluid.2014.01.028	0.3
95.9405	293.15	10.1016/j.fluid.2014.01.028	0.4
32.8956	293.15	10.1016/j.fluid.2014.01.028	0.6
14.3726	293.15	10.1016/j.fluid.2014.01.028	0.7
7.6483	293.15	10.1016/j.fluid.2014.01.028	0.8
4.3516	293.15	10.1016/j.fluid.2014.01.028	0.9
2.8657	293.15	10.1016/j.fluid.2014.01.028	0.9
2.0191	293.15	10.1016/j.fluid.2014.01.028	0.9
1.5294	293.15	10.1016/j.fluid.2014.01.028	1.0
1.2065	293.15	10.1016/j.fluid.2014.01.028	1.0
0.9836	293.15	10.1016/j.fluid.2014.01.028	1.0
246.7928	303.15	10.1016/j.fluid.2014.01.028	0.0
172.8659	303.15	10.1016/j.fluid.2014.01.028	108.0
105.3949	303.15	10.1016/j.fluid.2014.01.028	0.2
72.1121	303.15	10.1016/j.fluid.2014.01.028	0.3
56.4675	303.15	10.1016/j.fluid.2014.01.028	0.4
21.3567	303.15	10.1016/j.fluid.2014.01.028	0.6
10.0548	303.15	10.1016/j.fluid.2014.01.028	0.7
5.6438	303.15	10.1016/j.fluid.2014.01.028	0.8
3.2576	303.15	10.1016/j.fluid.2014.01.028	0.9
2.1977	303.15	10.1016/j.fluid.2014.01.028	0.9
1.5742	303.15	10.1016/j.fluid.2014.01.028	0.9
1.2059	303.15	10.1016/j.fluid.2014.01.028	1.0
0.9611	303.15	10.1016/j.fluid.2014.01.028	1.0
0.7914	303.15	10.1016/j.fluid.2014.01.028	1.0
133.3749	313.15	10.1016/j.fluid.2014.01.028	0.0
97.607	313.15	10.1016/j.fluid.2014.01.028	108.0
63.6328	313.15	10.1016/j.fluid.2014.01.028	0.2
44.9472	313.15	10.1016/j.fluid.2014.01.028	0.3
35.8177	313.15	10.1016/j.fluid.2014.01.028	0.4
14.735	313.15	10.1016/j.fluid.2014.01.028	0.6
7.0999	313.15	10.1016/j.fluid.2014.01.028	0.7
3.8621	313.15	10.1016/j.fluid.2014.01.028	0.8
2.5277	313.15	10.1016/j.fluid.2014.01.028	0.9
1.7433	313.15	10.1016/j.fluid.2014.01.028	0.9
1.2652	313.15	10.1016/j.fluid.2014.01.028	0.9
0.9808	313.15	10.1016/j.fluid.2014.01.028	1.0
0.7902	313.15	10.1016/j.fluid.2014.01.028	1.0
0.6492	313.15	10.1016/j.fluid.2014.01.028	1.0
81.5895	323.15	10.1016/j.fluid.2014.01.028	0.0
60.8033	323.15	10.1016/j.fluid.2014.01.028	108.0
41.6544	323.15	10.1016/j.fluid.2014.01.028	0.2
29.7991	323.15	10.1016/j.fluid.2014.01.028	0.3
24.0906	323.15	10.1016/j.fluid.2014.01.028	0.4
10.6386	323.15	10.1016/j.fluid.2014.01.028	0.6
5.076	323.15	10.1016/j.fluid.2014.01.028	0.7
3.0075	323.15	10.1016/j.fluid.2014.01.028	0.8
2.0196	323.15	10.1016/j.fluid.2014.01.028	0.9
1.4169	323.15	10.1016/j.fluid.2014.01.028	0.9
1.0444	323.15	10.1016/j.fluid.2014.01.028	0.9
0.8193	323.15	10.1016/j.fluid.2014.01.028	1.0
0.6578	323.15	10.1016/j.fluid.2014.01.028	1.0
0.5487	323.15	10.1016/j.fluid.2014.01.028	1.0
53.8117	333.15	10.1016/j.fluid.2014.01.028	0.0
39.3459	333.15	10.1016/j.fluid.2014.01.028	108.0
28.2346	333.15	10.1016/j.fluid.2014.01.028	0.2
20.8106	333.15	10.1016/j.fluid.2014.01.028	0.3
17.1371	333.15	10.1016/j.fluid.2014.01.028	0.4
7.7082	333.15	10.1016/j.fluid.2014.01.028	0.6
3.9458	333.15	10.1016/j.fluid.2014.01.028	0.7
2.4063	333.15	10.1016/j.fluid.2014.01.028	0.8
1.6547	333.15	10.1016/j.fluid.2014.01.028	0.9
1.1824	333.15	10.1016/j.fluid.2014.01.028	0.9
0.8829	333.15	10.1016/j.fluid.2014.01.028	0.9
0.6999	333.15	10.1016/j.fluid.2014.01.028	1.0
0.5652	333.15	10.1016/j.fluid.2014.01.028	1.0
477.0	333.15	10.1016/j.fluid.2014.01.028	1.0
36.7409	343.15	10.1016/j.fluid.2014.01.028	0.0
27.497	343.15	10.1016/j.fluid.2014.01.028	108.0
20.1102	343.15	10.1016/j.fluid.2014.01.028	0.2
15.2347	343.15	10.1016/j.fluid.2014.01.028	0.3
12.6879	343.15	10.1016/j.fluid.2014.01.028	0.4
5.6748	343.15	10.1016/j.fluid.2014.01.028	0.6
3.1519	343.15	10.1016/j.fluid.2014.01.028	0.7
1.9711	343.15	10.1016/j.fluid.2014.01.028	0.8
1.3842	343.15	10.1016/j.fluid.2014.01.028	0.9
1.004	343.15	10.1016/j.fluid.2014.01.028	0.9
0.7359	343.15	10.1016/j.fluid.2014.01.028	0.9
0.6006	343.15	10.1016/j.fluid.2014.01.028	1.0
0.4876	343.15	10.1016/j.fluid.2014.01.028	1.0
0.4354	343.15	10.1016/j.fluid.2014.01.028	1.0
26.3331	353.15	10.1016/j.fluid.2014.01.028	0.0
20.0963	353.15	10.1016/j.fluid.2014.01.028	108.0
14.9828	353.15	10.1016/j.fluid.2014.01.028	0.2
11.586	353.15	10.1016/j.fluid.2014.01.028	0.3
9.5736	353.15	10.1016/j.fluid.2014.01.028	0.4
4.4946	353.15	10.1016/j.fluid.2014.01.028	0.6
2.5717	353.15	10.1016/j.fluid.2014.01.028	0.7
1.6472	353.15	10.1016/j.fluid.2014.01.028	0.8
1.1855	353.15	10.1016/j.fluid.2014.01.028	0.9
0.8822	353.15	10.1016/j.fluid.2014.01.028	0.9
0.6654	353.15	10.1016/j.fluid.2014.01.028	0.9
0.5212	353.15	10.1016/j.fluid.2014.01.028	1.0
0.4353	353.15	10.1016/j.fluid.2014.01.028	1.0
386.0	353.15	10.1016/j.fluid.2014.01.028	1.0
19.5866	363.15	10.1016/j.fluid.2014.01.028	0.0
15.2351	363.15	10.1016/j.fluid.2014.01.028	108.0
11.4031	363.15	10.1016/j.fluid.2014.01.028	0.2
9.0466	363.15	10.1016/j.fluid.2014.01.028	0.3
7.5048	363.15	10.1016/j.fluid.2014.01.028	0.4
3.6385	363.15	10.1016/j.fluid.2014.01.028	0.6
2.1426	363.15	10.1016/j.fluid.2014.01.028	0.7
1.3986	363.15	10.1016/j.fluid.2014.01.028	0.8
1.0262	363.15	10.1016/j.fluid.2014.01.028	0.9
0.7702	363.15	10.1016/j.fluid.2014.01.028	0.9
0.6145	363.15	10.1016/j.fluid.2014.01.028	0.9
0.4654	363.15	10.1016/j.fluid.2014.01.028	1.0
0.3862	363.15	10.1016/j.fluid.2014.01.028	1.0
0.3306	363.15	10.1016/j.fluid.2014.01.028	1.0
1511.0	278.15	10.1016/j.jct.2018.07.031	0.0
1211.0	280.65	10.1016/j.jct.2018.07.031	0.0
982.4	283.15	10.1016/j.jct.2018.07.031	0.0
801.5	285.65	10.1016/j.jct.2018.07.031	0.0
658.4	288.15	10.1016/j.jct.2018.07.031	0.0
543.7	290.65	10.1016/j.jct.2018.07.031	0.0
452.6	293.15	10.1016/j.jct.2018.07.031	0.0
378.5	295.65	10.1016/j.jct.2018.07.031	0.0
319.7	298.15	10.1016/j.jct.2018.07.031	0.0
271.4	300.65	10.1016/j.jct.2018.07.031	0.0
232.1	303.15	10.1016/j.jct.2018.07.031	0.0
199.0	305.65	10.1016/j.jct.2018.07.031	0.0
171.6	308.15	10.1016/j.jct.2018.07.031	0.0
149.0	310.65	10.1016/j.jct.2018.07.031	0.0
130.0	313.15	10.1016/j.jct.2018.07.031	0.0
113.8	315.65	10.1016/j.jct.2018.07.031	0.0
100.0	318.15	10.1016/j.jct.2018.07.031	0.0
88.43	320.65	10.1016/j.jct.2018.07.031	0.0
